Name,Logo URL,Industries,Full Description,Description,Top 5 Investors,Last Funding Type,Last Funding Amount,Total Funding Equity,Number of Employees,Headquarters Location,Competitors,Founded Date
Weaviate,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/xt1pfa9berdy2nzym88q","Artificial Intelligence (AI), Cloud Computing, Database, Enterprise Software, Generative AI, Open Source, Search Engine","Weaviate develops a hybrid SaaS platform to build search and recommendation systems. Its open-source AI vector search engine has extensions in the platform for specific use cases such as semantic search, plugins to integrate into any application, and a console to understand their data.",Weaviate develops a hybrid SaaS platform to build search and recommendation systems.,"New Enterprise Associates, Index Ventures, Battery Ventures, SAV (Scale Asia Ventures), GTMfund",Series B,"$50,000,000","$67,700,000",51-100,"Amsterdam, Noord-Holland, The Netherlands",9,"Jun 28, 2019"
Monogoto,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/akztlk0kiruozbnfh0te","Developer APIs, Developer Tools, IaaS, Internet of Things, Telecommunications","Monogoto is a cloud-based cellular network. Its API-driven Infrastructure-as-a-Service was designed from the ground up with simplicity in mind to enable cellular connectivity with existing enterprise IT infrastructure. With hundreds of ready-to-use APIs, Monogoto offers cellular connectivity with edge to the cloud security for IoT, Private LTE, and 5G use cases. Its services include full audit for all network events with anomaly detection and alerts automation. Monogoto’s enterprise-friendly solution enables customers to consume advanced cellular VAS with zero CAPEX and an “as-a-Service” business model. The Monogoto network is distributed globally with public connectivity in 180 countries. Helping companies to comply with regulation, the Monogoto solution supports on-premise local breakout topology for private LTE/5G networks.",Monogoto is an API-driven cellular infrastructure-as-a-service enabling IoT connectivity and private LTE/5G networks,"Team8, Samsung NEXT, Toyota Ventures, Singtel Innov8, Alter Venture Partners",Series A,"$27,000,000","$38,000,000",11-50,"Chatsworth, California, United States",8,2018
MiLaboratories,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/quxkryczzfztpgn35kko","Biotechnology, Genetics, Software","MiXCR is an ultimate software platform for analysis of Next-Generation Sequencing (NGS) data for immune profiling. It’s widely used to empower R&D in vaccine development, CAR-T therapies, antibody discovery and other areas. 8 out of 10 Big Pharma companies choose MiXCR for studying immune system. Aiming to support non-profit research, we provide MiXCR for free for academic and non-commercial use. For years, MiXCR is being the number one solution for immune system studies in academia and industry.",MiLaboratories is a biotech company developing leading software platform for immune repertoire profiling,"Speedinvest, K Fund, Courtyard Ventures, EGB Capital, Acrobator Ventures | Acrobator.vc",Series A,"$10,000,000","$12,359,875",11-50,"Sunnyvale, California, United States",6,2021
Taktile,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/cmvwkxks9w5alwzv41iu","Financial Services, FinTech, Insurance, Lending, Software","Taktile is a software platform that allows businesses to build, run and evaluate automated decision flows quicker and more data-driven than ever before. In a world that is highly dynamic and competitive, Taktile helps companies bring products to market quicker, reduce risk in decision-making, adapt to change faster, and constantly improve their margins. We help lenders determine if someone should be eligible for a loan and help insurers decide what the price of an insurance should be. With our platform, the right people in the organization can take control. Decision-makers easily make changes to complex decision flows without engineering assistance, back-test the change to see what its impact would have been, and even iterate repeatedly to ensure they are making the best decision before implementing the new flow. Taktile also converts decision logs and historical data into actionable assets that risk managers can use to react to dynamic markets and evaluate the impact of every change to their decision flows before setting them live – enabling them to choose facts over gut feeling. Taktile was founded in 2020 by Maximilian Eber and Maik Taro Wehmeyer in New York.",Taktile empowers decision-makers to build and evaluate automated decision flows faster than ever before.,"Y Combinator, Leblon Capital, Index Ventures, Tiger Global Management, Plug and Play",Series A,—,"$24,700,000",51-100,"New York, New York, United States",6,2020
Apron,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/vblhlnngfpe6whjpbrsl","Billing, FinTech, Payments",Apron is a platform that allows small businesses to pay their suppliers.,Apron is a platform that allows small businesses to pay their suppliers.,"Bessemer Venture Partners, Index Ventures, Visionaries Club, Zinal Growth, Tony Fadell",Series B,"£22,000,000","$49,573,287",11-50,"London, England, United Kingdom",9,2021
Paccurate,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/ulfpgya5tfpfwvpnmft7","Developer APIs, Enterprise Resource Planning (ERP), Logistics, Software, Supply Chain Management","Paccurate reduces shipping costs and wasted material by finding the optimal way to pack every shipment. It is crafted with real-world fulfillment concerns in mind, but they make a special effort not to be rigid. Most features are generalized enough to support niche use cases. They work to deliver a secure, scalable service that can adapt to a variety of use cases.",Paccurate is a cartonization API that lowers shipping costs and speeds up shipping.,"High Alpha, Tech Square Ventures, FirstMile Ventures, HPA (Hyde Park Angels), SpringTime Ventures",Series A,"$8,100,000","$13,800,000",11-50,"Brooklyn, New York, United States",7,2018
Harmonic Security,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/ab12c5b2a599434090d32e6ea3b022d3","Cyber Security, Generative AI, Internet, Network Security, Security","Harmonic Security helps companies adopt Generative AI without risking the security and privacy of their data. Harmonic Security gives security teams the tools to protect sensitive data without the headaches of labeling and complex rules. Our pre-trained data protection models enable secure innovation through user interaction and gentle nudges. Recognized as an RSA Innovation Sandbox finalist in 2024, Harmonic Security redefines data protection for the GenAI era.","Harmonic Security specializes in data protection, providing tools to easily monitor and safeguard sensitive data.","Claroty, Sysdig, Ten Eleven Ventures, In-Q-Tel, Next47",Series A,"$17,500,000","$24,500,000",11-50,"San Francisco, California, United States",10,2023
Qantev,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/dyabeph4tqg8ky8wx56d","Artificial Intelligence (AI), Data Management, Enterprise Software, Insurance, InsurTech, Machine Learning, Software",AI claims platform for health & life insurance,AI claims platform for health & life insurance,"Entrepreneur First, Omnes Capital, Blossom Capital, Elaia, Raise Ventures",Series B,"€30,000,000","$45,176,652",11-50,"Paris, Ile-de-France, France",8,2019
Twelve Labs,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/ov2ac0zsoqq0dwpfamu1","Generative AI, Information Technology, Software, Video","Twelve Labs is a platform that gives businesses and developers access to multimodal video understanding. The company's mission is to help developers build programs that can see, listen, and understand the world.",Twelve Labs makes video foundation models accessible via APIs to empower businesses and developers to build intelligent video products.,"Techstars, Intel, Samsung NEXT, NVentures, New Enterprise Associates",Series A,"$50,000,000","$77,120,000",11-50,"San Francisco, California, United States",9,Mar 2021
Wealth.com,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/mju9ih1tpaqnns7tlmqt","Artificial Intelligence (AI), Financial Services, FinTech, Machine Learning, Wealth Management","Wealth is a comprehensive estate planning platform that empowers people to create, manage and visualize their plans digitally. Creating an estate plan with Wealth gives your loved ones a holistic view of all your assets, visualized and securely stored in one place. Because life is unpredictable, Wealth makes it easy for you to access your plan anytime and offers guidance to keep it current and valid. And should the unthinkable occur, your trusted beneficiaries are granted emergency access to your plan. Wealth is available to companies as an employee benefit, allowing employers to offer their workforce a meaningful financial wellness opportunity.","Wealth.com is a digital estate planning platform for wealth management firms, utilizing advanced technology and advisory services.","Alumni Ventures, Google Ventures, Citi Ventures, Firebolt Ventures, Anthos Capital",Series A,"$30,000,000","$46,000,000",11-50,"Phoenix, Arizona, United States",8,2021
Unstructured Technologies,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/kjc29v8rlyt3cvfxikxo","Artificial Intelligence (AI), Machine Learning, Natural Language Processing, Open Source","Unstructured makes it simple to turn raw data—like PDFs and Microsoft Office documents—into RAG-ready formats, so all of your human-generated information is accessible to LLMs. The Unstructured platform continuously hydrates your generative AI systems and allows you to plug in any third-party model with their modular architecture. Unstructured supports over 25 file types, including PDF, DOC, and PPTX, and offer connectors to platforms like SharePoint, S3, Databricks, and more. Unstructured helps you get the most out of your documents, making data extraction and integration into your AI workflows effortless.","Unstructured is an enterprise ETL tool that automatically transforms complex, unstructured data into clean, structured data for GenAI.","Alumni Ventures, Menlo Ventures, NVentures, M12 - Microsoft's Venture Fund, Madrona",Series B,"$40,000,000","$65,000,000",11-50,"Rocklin, California, United States",9,2022
Mutiny,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/yrvcqb8dgkffltz07hve","Advertising, Artificial Intelligence (AI), B2B, Machine Learning, Marketing, Personalization, SaaS","Most Marketing teams can’t play a meaningful role in breaking through to target accounts because the 1:1 marketing strategies that work don’t scale, and what scales doesn’t work. Mutiny helps B2B companies generate pipeline and revenue from their target accounts through AI-powered personalized experiences, 1:1 microsites, and account intelligence. We are backed by Sequoia Capital, Tiger Global, Insight Partners, and Y Combinator.",Mutiny helps B2B companies generate pipeline and revenue from their target accounts through AI-powered personalized web experiences.,"Sequoia Capital, Y Combinator, Insight Partners, Tiger Global Management, Hack VC",Series B,"$50,000,000","$71,620,000",51-100,"San Francisco, California, United States",6,2018
Relevance AI,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/fkozfrxv1dbylrnuj8lt","Analytics, Artificial Intelligence (AI), Generative AI, Machine Learning, Software","Relevance AI is a platform for building custom AI agents, aiding companies in automating repetitive reasoning tasks efficiently. The company offers two main products: AI Tools, which facilitate seamless integration into workflows for automating repetitive tasks, and AI Agents, which streamline complete workflows in areas such as marketing, sales, and research. Relevance AI aims to empower teams, ensuring limitations are driven by ideas, not size.","Relevance AI is a platform for building custom AI agents, aiding companies in automating repetitive reasoning tasks efficiently.","Insight Partners, Surge, King River Capital, Archangel Ventures, Galileo Ventures",Series A,"$15,000,000","$18,000,000",11-50,"Surry Hills, New South Wales,",7,Mar 2020
Vectara,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/c2e727ac674346c893f47fa346d27c2c","Artificial Intelligence (AI), Developer Platform, Generative AI, Machine Learning, Natural Language Processing","Vectara provides a generative AI product platform for embedding generative AI features into applications. The company's product is an end-to-end Serverless Retrieval Augmented Generation API platform for embedding powerful generative AI functionality into applications, chatbots, and products with results grounded in, and never trained on, the data, documents, and knowledge they have. Built on a solid hybrid-search core, Vectara delivers the shortest path to a correct answer-action through a safe, secure, and trusted entry point that allows businesses to quickly, safely, and affordably integrate conversational AI and question-answering into their application with zero-shot precision. Vectara's serverless RAG platform solves critical problems required for enterprise adoption, namely: reduces hallucination, provides explainability, and provenance, enforces access control, allows for real-time updatability of the knowledge, and mitigates intellectual property and bias concerns from large language models.",Vectara provides a generative AI product platform for embedding generative AI features into applications.,"Alumni Ventures, Vertex Ventures, Page One Ventures, Fusion Fund, Race Capital",Series A,"$25,000,000","$53,500,000",11-50,"Palo Alto, California, United States",9,2022
Pachama,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/iok7dhmzso3kvt06lxwg","Artificial Intelligence (AI), CleanTech, Forestry, Machine Learning, Marketplace","Pachama harnesses AI and satellite data to empower companies to confidently invest in nature. Using the latest technological advances, Pachama delivers continuous insight into how forests sequester carbon, protect wildlife and benefit local communities. These insights enable leading companies to find the world’s best projects and track their impact over time while also helping land stewards earn an income with tools to develop carbon projects and secure funds.",Pachama harnesses AI and satellite data to empower companies to confidently invest in nature.,"Amazon, Y Combinator, Lowercarbon Capital, Wollemi, Scott Belsky",Series B,"$9,000,000","$88,250,000",51-100,"San Francisco, California, United States",13,Nov 2018
Tavus,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/pipqlugeoxhdjelpp9wb","Artificial Intelligence (AI), Developer Platform, Generative AI, Software, Video",Tavus is an AI research company focused on making digital experiences as immersive as face to face. They do this with their best-in-class AI avatar models that can be used by developers and companies to create async and real-time video experiences with a human digital twin.,"Tavus provides foundational video models for digital twins, as an API.","Sequoia Capital, Accel, Y Combinator, Lightspeed Venture Partners, Index Ventures",Series A,"$18,000,000","$24,225,000",11-50,"San Francisco, California, United States",9,2020
Sprig,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/izviznxo83lhswrhkpx4","Big Data, Product Research, Software","Sprig is the product development lifecycle research platform and is on a mission to make experiences that matter. Companies use Sprig’s Concept and Usability Testing and In-Product Surveys to get research insights from users about new ideas, designs and prototypes, as well as currently available product experiences. Dropbox, Square, Opendoor and Loom trust Sprig to help them build better products.",Sprig's In-Product Surveys and Concept & Usability Tests power research across the product development Lifecycle,"Andreessen Horowitz, Accel, Elad Gil, First Round Capital, Akshay Kothari",Series B,"$30,000,000","$88,000,000",51-100,"San Francisco, California, United States",7,"Jun 1, 2018"
